bed_count,zip_cod,ccn,medicare_medicaid_eligible
25,81650,061317,True
24,81230,061320,True
25,81082,061321,True
25,81201,061322,True
25,81611,061324,True
16,81641,061325,True
25,80810,061343,True
68,80218,062009,True
93,80113,062011,True
37,80011,062013,True
54,80229,062014,True
20,80534,062017,True
122,80011,063027,True
64,80910,063030,True
40,80534,063033,True
40,80120,063034,True
31,80229,063035,True
46,81501,064023,True
24,80923,064026,True
92,80534,064029,True
0,80218,069865,True
78,6069,070004,True
109,6790,070011,True
144,6450,070017,True
130,6226,070021,True
874,6504,070022,True
213,6360,070024,True
819,6102,070025,True
397,6606,070028,True
345,6810,070033,True
328,6856,070034,True
330,6050,070035,True
45,6117,070040,True
129,6106,073300,True
60,6250,074008,True
0,6504,079801,True
1196,19718,080001,True
304,19901,080004,True
119,19973,080006,True
168,19963,080009,True
35,19805,082000,True
40,19709,083026,True
260,19899,083300,True
73,19901,084004,True
90,19947,084005,True
0,19803,089801,True
535,20007,090004,True
362,20016,090005,True
184,20032,090008,True
818,20010,090011,True
60,20002,092002,True
82,20032,092003,True
137,20010,093025,True
104,20016,094004,True
0,20010,099800,True
0,20007,099802,True
481,33435,100002,True
1738,32806,100006,True
3220,32803,100007,True
895,33901,100012,True
109,32170,100014,True
563,32114,100017,True
2230,33136,100022,True
204,34452,100023,True
547,32504,100025,True
323,32401,100026,True
208,32796,100028,True
816,33150,100029,True
216,34761,100030,True
480,33701,100032,True
672,33140,100034,True
1013,33021,100038,True
528,32204,100040,True
521,34994,100044,True
164,32720,100045,True
139,33541,100046,True
208,33950,100047,True
55,32565,100048,True
126,33870,100049,True
122,34711,100051,True
356,33013,100053,True
65,32578,100054,True
168,34689,100055,True
269,32778,100057,True
385,34474,100062,True
362,32117,100068,True
119,33614,100069,True
312,34285,100070,True
244,34601,100071,True
175,32763,100072,True
254,33952,100077,True
807,33462,100080,True
330,34748,100084,True
839,34239,100087,True
1119,32207,100088,True
335,32086,100090,True
298,32955,100092,True
646,32501,100093,True
160,33853,100099,True
332,32960,100105,True
88,33936,100107,True
204,33872,100109,True
404,34741,100110,True
1111,32610,100113,True
146,32250,100117,True
99,32164,100118,True
110,32539,100122,True
129,32570,100124,True
147,33033,100125,True
307,33707,100126,True
1041,33606,100128,True
90,33030,10012,False
407,33180,100131,True
25,32063,100134,True
193,33837,100137,True
62,32034,100140,True
100,32446,100142,True
167,33040,100150,True
436,33143,100154,True
91,32055,100156,True
221,32771,100161,True
155,34233,100166,True
488,33133,100167,True
400,33486,100168,True
626,33613,100173,True
454,32216,100179,True
215,33710,100180,True
360,33016,100187,True
289,33063,100189,True
250,32512,10018,False
340,34655,100191,True
25,32304,10019,False
528,32605,100204,True
384,33609,100206,True
447,33175,100209,True
120,33525,100211,True
545,34471,100212,True
383,34209,100213,True
215,32580,10021,False
699,33912,100220,True
309,32547,100223,True
271,33321,100224,True
365,32073,100226,True
250,33324,100228,True
301,33024,100230,True
515,32514,100231,True
99,32177,100232,True
233,33952,100236,True
288,33709,100238,True
282,32405,100242,True
431,33511,100243,True
291,33990,100244,True
398,34950,100246,True
455,33770,100248,True
128,34428,100249,True
100,34972,100252,True
288,32308,100254,True
290,34667,100256,True
112,33573,100259,True
207,34952,100260,True
350,34613,100264,True
77,32561,100266,True
100,34223,100267,True
204,33470,100269,True
235,33414,100275,True
32,33137,100277,True
486,33028,100281,True
178,33029,100285,True
275,34119,100286,True
206,33331,100289,True
307,32159,100290,True
119,32935,100291,True
58,32550,100292,True
281,33146,100296,True
24,32324,100298,True
120,34202,100299,True
84,34769,100302,True
313,32216,100307,True
19,32456,100313,True
133,33196,100314,True
169,33544,100319,True
76,34758,100320,True
134,32068,100321,True
64,32765,100329,True
42,32725,100330,True
64,32827,100350,True
165,33328,100360,True
72,32207,10039,False
116,33155,10056,False
192,33410,10065,False
100,32827,10099,False
25,33873,101300,True
25,32054,101303,True
25,32424,101304,True
25,32320,101305,True
8,33050,101312,True
25,33070,101313,True
47,33128,102001,True
99,32809,102003,True
155,33611,102009,True
238,33301,102010,True
102,33603,102013,True
73,32043,102015,True
30,32401,102017,True
31,34474,102019,True
29,32308,102020,True
44,32610,102022,True
60,33461,102023,True
54,32504,102024,True
70,33418,102025,True
77,34637,102026,True
60,32901,102027,True
40,34484,102028,True
60,33905,102029,True
34,32117,102030,True
60,33016,102031,True
50,33936,102032,True
126,33351,103028,True
96,34240,103031,True
80,32960,103032,True
