bed_count,zip_cod,ccn,medicare_medicaid_eligible
222,95065,050242,True
385,92262,050243,True
456,92324,050245,True
172,93906,050248,True
25,93436,05024,False
111,95667,050254,True
64,93308,050257,True
275,93703,05025,False
120,93257,050261,True
445,90095,050262,True
415,94550,05026,False
229,92373,050272,True
164,94553,050276,True
257,91346,050278,True
59,92252,050279,True
1544,90822,05027,False
267,96001,050280,True
144,91801,050281,True
175,94588,050283,True
279,94015,050289,True
1400,90073,05028,False
317,90404,050290,True
170,95403,050291,True
439,92555,050292,True
211,93301,050295,True
56,92311,050298,True
1106,90025,05029,False
212,92307,050300,True
127,95482,050301,True
555,94705,050305,True
443,94040,050308,True
328,95661,050309,True
498,94553,05030,False
82,95376,050313,True
222,93306,050315,True
2046,94304,05031,False
613,94602,050320,True
332,92037,050324,True
533,92354,050327,True
240,92882,050329,True
519,91342,05032,False
263,93901,050334,True
143,95370,050335,True
190,95240,050336,True
99,92227,050342,True
415,92868,050348,True
894,91343,05034,False
224,90640,050350,True
380,90509,050351,True
64,96150,050352,True
366,90503,050353,True
122,93111,050357,True
325,94904,050360,True
123,94533,050367,True
10,92311,05036,False
1395,90033,050373,True
553,90502,050376,True
242,91352,050378,True
15,93555,05037,False
404,95124,050380,True
193,91723,050382,True
25,93041,05038,False
433,92543,050390,True
199,90241,050393,True
242,93003,050394,True
450,93102,050396,True
138,93210,050397,True
20,92277,05039,False
54,94133,050407,True
5,96113,05040,False
251,90710,050411,True
106,95630,050414,True
49,95531,050417,True
20,92311,05041,False
51,92225,050423,True
173,92037,050424,True
628,95825,050425,True
219,92804,050426,True
625,91109,050438,True
613,94305,050441,True
186,95340,050444,True
1019,94143,050454,True
255,93301,050455,True
339,94117,050457,True
461,95350,050464,True
180,90247,050468,True
408,90017,050471,True
236,91307,050481,True
570,90806,050485,True
155,94546,050488,True
208,93611,050492,True
303,94520,050496,True
97,95603,050498,True
158,92024,050503,True
186,93405,050506,True
120,94903,050510,True
193,94538,050512,True
659,92120,050515,True
370,95608,050516,True
101,92392,050517,True
111,94509,050523,True
131,92647,050526,True
48,93635,050528,True
156,92201,050534,True
48,95616,050537,True
149,94063,050541,True
122,92627,050543,True
1226,93257,050546,True
273,91360,050549,True
21,90007,05054,False
146,90720,050551,True
275,95355,050557,True
293,90034,050561,True
565,92691,050567,True
106,93637,050568,True
405,92708,050570,True
289,92270,050573,True
140,90623,050580,True
170,90712,050581,True
112,91710,050586,True
101,91773,050588,True
114,92870,050589,True
158,95823,050590,True
106,91740,050597,True
631,95817,050599,True
325,92653,050603,True
247,95119,050604,True
156,93215,050608,True
262,92806,050609,True
180,93010,050616,True
16,93105,05061,False
238,91355,050624,True
877,90048,050625,True
12,95820,05062,False
114,93465,050633,True
236,92064,050636,True
127,90023,050641,True
60,90089,050660,True
180,90023,050663,True
11,94116,050668,True
46,95616,05066,False
241,95823,050674,True
218,91367,050677,True
210,92708,050678,True
84,92585,050684,True
226,92505,050686,True
123,94583,050689,True
173,95403,050690,True
285,90033,050696,True
10,96001,050697,True
250,92562,050701,True
96,91402,050704,True
31,93710,050708,True
148,92395,050709,True
169,93720,050710,True
30,95065,050714,True
395,90242,050717,True
269,91706,050723,True
47,93308,050724,True
23,95355,050726,True
57,93720,050732,True
178,90605,050735,True
102,91754,050736,True
210,91754,050737,True
104,91733,050738,True
346,90301,050739,True
145,90291,050740,True
204,90036,050742,True
189,92805,050744,True
84,92869,050745,True
282,92705,050746,True
178,92704,050747,True
224,95337,050748,True
153,91403,050755,True
311,92120,050757,True
106,91763,050758,True
150,94531,050760,True
245,91356,050761,True
187,90026,050763,True
246,96001,050764,True
101,92555,050765,True
14,95991,050766,True
72,95688,050767,True
70,92618,050769,True
106,92563,050770,True
117,90650,050771,True
340,95661,050772,True
140,92592,050775,True
157,90806,050776,True
108,94577,050777,True
343,92354,050778,True
131,90059,050779,True
135,92780,050780,True
99,91767,050782,True
48,95932,050783,True
112,93274,050784,True
17,90036,050785,True
1,92835,050786,True
1,90212,050787,True
1,94115,050788,True
1,94598,050789,True
1,93105,050790,True
1,91206,050791,True
1,91360,050792,True
1,93105,050793,True
1,90720,050794,True
1,93465,050795,True
1,92211,050796,True
1,93105,050797,True
1,94558,050798,True
1,91730,050799,True
1,91324,050800,True
1,90020,050801,True
1,91307,050802,True
1,90211,050803,True
1,91324,050804,True
1,93311,050805,True
1,94598,050806,True
1,93551,050807,True
1,91307,050808,True
1,92374,050809,True
1,94520,050811,True
1,93311,050812,True
1,91403,050813,True
1,91436,050814,True
1,92108,050815,True
1,92835,050816,True
1,92610,050817,True
1,91356,050818,True
1,91361,050819,True
1,93277,050820,True
1,91405,050821,True
1,93309,050822,True
1,91702,050823,True
1,91105,050824,True
1,90505,050825,True
1,90210,050827,True
1,90212,050828,True
1,90703,050829,True
1,90505,050830,True
1,91361,050831,True
1,93420,050832,True
1,94015,050833,True
1,92704,050834,True
1,94538,050836,True
1,92064,050837,True
1,93105,050838,True
1,91786,050839,True
12,90022,05083,False
1,92103,050840,True
1,93720,050841,True
1,93301,050842,True
1,91006,050843,True
1,91764,050844,True
1,91767,050845,True
1,90806,050846,True
1,93454,050847,True
1,94108,050848,True
1,90211,050850,True
1,91361,050852,True
1,91411,050853,True
13,92503,05085,False
25,95945,05086,False
88,94704,05087,False
60,94122,05090,False
125,91107,05098,False
16,94577,05099,False
10,93635,05101,False
31,93105,05106,False
350,90801,05113,False
5,92161,05114,False
0,92011,05115,False
0,92357,05127,False
1327,90073,05128,False
40,92278,05129,False
9,96122,051300,True
24,93561,051301,True
25,93545,051302,True
17,93546,051303,True
34,95338,051304,True
121,96028,051305,True
47,95988,051306,True
12,90704,051307,True
4,96104,051308,True
16,95542,051309,True
120,94121,05130,False
25,95490,051310,True
24,95948,051311,True
17,92352,051312,True
27,93240,051314,True
25,96093,051315,True
28,96097,051316,True
32,95422,051317,True
25,95540,051318,True
33,96067,051319,True
38,96130,051320,True
26,95448,051321,True
25,92363,051323,True
25,93514,051324,True
25,95437,051325,True
25,95971,051326,True
26,96020,051327,True
72,96161,051328,True
30,95453,051329,True
16,96101,051330,True
11,93463,051331,True
25,95249,051332,True
72,93555,051333,True
91,93023,051334,True
30,92315,051335,True
25,93930,051336,True
25,95023,051337,True
20,92024,051990,True
42,90031,051991,True
13,94116,051993,True
99,90026,052031,True
81,90056,052032,True
58,95630,052033,True
99,94577,052034,True
109,92683,052035,True
70,92104,052036,True
91,91764,052037,True
277,90638,052038,True
48,92821,052039,True
120,94904,052043,True
110,92103,052044,True
95,91706,052045,True
177,90723,052046,True
56,96001,052047,True
55,91730,052049,True
58,90247,052050,True
40,92571,052052,True
49,91016,052054,True
36,95354,052055,True
37,95472,052057,True
86,93309,053031,True
62,93720,053032,True
117,92782,053034,True
60,92411,053037,True
25,92354,053038,True
138,90067,053039,True
50,95355,053040,True
50,92270,053041,True
50,92563,053042,True
52,92029,053043,True
50,93306,053044,True
358,93636,053300,True
190,94609,053301,True
568,90027,053302,True
518,92123,053303,True
192,92868,053304,True
396,94304,053305,True
54,92691,053306,True
6,92866,053308,True
354,90806,053309,True
80,95817,053311,True
209,90095,054009,True
55,90026,054028,True
97,91770,054032,True
166,90505,054053,True
187,90703,054055,True
95,91724,054069,True
61,94590,054074,True
66,91942,054075,True
87,93001,054077,True
118,91107,054078,True
72,90011,054083,True
171,95823,054087,True
13,94112,054089,True
89,92373,054093,True
80,92128,054095,True
73,95826,054096,True
125,95841,054104,True
96,94538,054110,True
106,91710,054111,True
109,92110,054114,True
1418,94558,054122,True
35,95204,054123,True
16,95501,054124,True
16,93110,054125,True
68,92506,054130,True
73,94524,054131,True
1106,90650,054133,True
34,92663,054135,True
56,94143,054144,True
149,92123,054145,True
26,94601,054146,True
10,91335,054147,True
60,91356,054148,True
16,94578,054149,True
24,95051,054150,True
95,95401,054151,True
16,95062,054152,True
20,90806,054153,True
80,95138,054154,True
90,93309,054155,True
128,91740,054157,True
521,92123,059800,True
0,90048,059801,True
0,94305,059803,True
0,94304,059804,True
0,92123,059805,True
0,94109,059806,True
0,94143,059807,True
0,95817,059808,True
0,95816,059809,True
0,92103,059810,True
0,92868,059811,True
0,90095,059812,True
0,90027,059813,True
0,92354,059814,True
0,92037,059815,True
0,92868,059816,True
0,90509,059818,True
0,90033,059819,True
0,92501,059821,True
378,80631,060001,True
186,80501,060003,True
98,80601,060004,True
75,81401,060006,True
59,81101,060008,True
364,80033,060009,True
281,80524,060010,True
398,80204,060011,True
408,81004,060012,True
82,81301,060013,True
680,80218,060014,True
593,80228,060015,True
350,81003,060020,True
583,80909,060022,True
346,81501,060023,True
568,80045,060024,True
211,80303,060027,True
565,80218,060028,True
135,80912,06002,False
115,80538,060030,True
522,80907,060031,True
422,80220,060032,True
368,80113,060034,True
250,80913,06003,False
50,80701,060044,True
39,80487,060049,True
78,81505,060054,True
447,80220,06005,False
368,80210,060064,True
157,80229,060065,True
635,81038,06006,False
49,81416,060071,True
78,81601,060075,True
36,80751,060076,True
103,81501,06007,False
58,81657,060096,True
15,80813,06009,False
346,80012,060100,True
66,80027,060103,True
196,80023,060104,True
46,80206,060107,True
186,80124,060112,True
231,80122,060113,True
104,80138,060114,True
35,81003,060115,True
234,80026,060116,True
12,81301,060117,True
35,80443,060118,True
180,80538,060119,True
15,80429,06011,False
48,80228,060124,True
50,80109,060125,True
22,80528,060126,True
51,80504,060128,True
22,80021,060129,True
22,80918,060130,True
50,80634,060131,True
87,80129,060132,True
119,80901,06015,False
50,80045,06019,False
0,81657,06020,False
25,81036,061300,True
17,81132,061301,True
25,81521,061302,True
25,80723,061303,True
25,80731,061304,True
16,80734,061305,True
15,80821,061306,True
25,81648,061307,True
17,81140,061308,True
15,80758,061309,True
25,80737,061310,True
23,81073,061311,True
23,80517,061312,True
19,80807,061313,True
25,81625,061314,True
22,80759,061315,True
25,81089,061316,True
25,81650,061317,True
25,80459,061318,True
25,80461,061319,True
24,81230,061320,True
25,81082,061321,True
25,81201,061322,True
25,81052,061323,True
25,81611,061324,True
16,81641,061325,True
15,80863,061326,True
25,81321,061327,True
11,81147,061328,True
25,81050,061336,True
25,80810,061343,True
25,81212,061344,True
68,80218,062009,True
93,80113,062011,True
63,80204,062012,True
37,80011,062013,True
54,80229,062014,True
20,80534,062017,True
122,80011,063027,True
64,80910,063030,True
40,80534,063033,True
40,80120,063034,True
31,80229,063035,True
40,80238,063036,True
36,80020,063037,True
48,80112,063038,True
479,80045,063301,True
99,80920,063303,True
438,81003,064001,True
173,80236,064003,True
72,80027,064007,True
52,80906,064009,True
46,81501,064023,True
86,80130,064024,True
24,80923,064026,True
96,80112,064028,True
92,80534,064029,True
0,80218,069865,True
0,80045,069866,True
0,80045,069867,False
0,80210,069868,True
617,6105,070002,True
104,6260,070003,True
78,6069,070004,True
357,6721,070005,True
305,6904,070006,True
280,6320,070007,True
92,6076,070008,True
497,6610,070010,True
109,6790,070011,True
102,6066,070012,True
347,6706,070016,True
144,6450,070017,True
206,6830,070018,True
55,6320,07001,False
275,6457,070020,True
130,6226,070021,True
874,6504,070022,True
213,6360,070024,True
819,6102,070025,True
249,6040,070027,True
397,6606,070028,True
134,6010,070029,True
198,6111,07002,False
160,6418,070031,True
345,6810,070033,True
328,6856,070034,True
330,6050,070035,True
204,6032,070036,True
52,6405,070038,True
91,6492,070039,True
813,6516,07003,False
45,6117,070040,True
0,6340,07004,False
314,6610,07006,False
42,6508,07007,False
137,6492,072003,True
228,6050,072004,True
60,6112,073025,True
129,6106,073300,True
386,6457,074003,True
60,6250,074008,True
70,6508,074011,True
62,6610,074012,True
129,6840,074014,True
50,6457,074015,True
0,6504,079801,True
0,6106,079802,True
1196,19718,080001,True
395,19805,080003,True
304,19901,080004,True
119,19973,080006,True
155,19958,080007,True
168,19963,080009,True
70,19902,08001,False
300,19805,08002,False
35,19805,082000,True
40,19709,083026,True
34,19904,083027,True
260,19899,083300,True
